time,latitude,longitude,depth,mag,magType,event_id,min_hyp_CCN_N_km,min_hyp_SER_N_km,min_hyp_SER_S_km
2026-02-13 00:58:25,-30.776,-71.371,44.0,4.6,Mw,20260213T005825,116.4,108.1,63.3
2026-02-15 13:45:28,-31.31,-71.64,34.0,4.2,Ml,20260215T134528,55.0,164.9,56.0
2026-02-16 09:19:39,-30.819,-71.375,45.0,4.7,Ml,20260216T091939,112.7,112.9,64.0
2026-02-17 01:21:46,-30.78,-71.325,49.0,4.5,Ml,20260217T012146,119.7,110.4,70.0
2026-02-20 08:34:36,-30.639,-71.527,32.0,4.4,Mw,20260220T083436,121.8,92.3,43.4
2026-02-22 14:22:57,-30.841,-71.397,46.0,4.8,Mlv,20260222T142257,110.3,115.7,63.4
2026-02-27 23:32:02,-32.06,-71.68,36.0,4.2,Ml,20260227T233202,39.7,246.4,128.4
2026-02-28 12:44:30,-29.833,-71.625,36.0,4.3,Ml,20260228T124430,207.6,37.4,38.8
2026-03-01 01:37:05,-32.631,-71.697,36.0,4.1,Ml,20260301T013705,36.5,308.8,189.4
2026-03-02 23:55:54,-28.579,-71.685,44.0,4.4,Mlv,20260302T235554,345.6,81.5,155.4
2026-03-03 21:30:29,-32.25,-72.145,39.0,4.5,Mlv,20260303T213029,48.2,277.3,150.6
2026-03-04 11:48:34,-29.45,-71.153,51.0,4.0,Mlv,20260304T114834,259.2,71.0,71.5
2026-03-04 12:32:08,-30.846,-71.421,46.0,4.8,Mlv,20260304T123208,109.0,116.5,61.9
2026-03-04 15:26:27,-30.852,-71.414,46.0,4.5,Mlv,20260304T152627,108.7,117.0,62.4
2026-03-05 01:08:20,-29.668,-71.534,45.0,5.0,Mlv,20260305T010820,228.0,45.8,53.4
2026-03-07 22:55:24,-28.803,-71.543,41.0,4.7,Mw,20260307T225524,321.5,62.4,128.9
2026-03-09 08:19:29,-31.721,-71.242,52.0,4.0,Mlv,20260309T081929,75.3,209.7,115.6
2026-03-12 01:50:43,-31.329,-71.459,48.0,4.4,Mlv,20260312T015043,69.9,167.6,74.1
2026-03-13 13:39:22,-28.78,-71.48,28.0,6.5,Mww,20260313T133922,323.2,58.9,127.2
2026-03-13 13:49:25,-28.746,-71.452,31.0,4.0,Mlv,20260313T134925,327.4,64.4,131.4
2026-03-14 03:31:55,-28.778,-71.321,33.0,4.0,Mlv,20260314T033155,325.7,69.0,127.6
2026-03-14 04:11:21,-28.828,-71.458,26.0,4.2,Mlv,20260314T041121,317.9,54.8,121.5
2026-03-16 05:23:58,-28.778,-71.419,31.0,4.1,Mlv,20260316T052358,324.3,63.1,127.7
