station,peak_disp,peak_noise,snr,distance,latitude,longitude,depth,magnitude
N0150,7.773252651558564e-05,2.1381503661351164e-06,36.355032717410616,51.91283034092662,-29.855026,-71.373772,-199.0,5.9788120411839385
N0200,5.592255933342169e-05,3.9697125235330795e-07,140.87307078763,49.78566994591654,-29.831,-71.417424,-353.0,5.7802269041772965
N0250,0.00015169210660523797,1.7539114045498871e-06,86.48789568944463,48.14594879745248,-29.809008,-71.461846,-613.0,6.273532411832399
N0300,0.00017148153577310936,8.735777967340002e-07,196.29795584802915,46.97340075549796,-29.787071,-71.506087,-635.0,6.320310466897147
N0350,6.051110043952197e-05,4.6144510771418687e-07,131.13390829793295,46.294429763372605,-29.764971,-71.55077,-852.0,5.771957704843072
N0400,2.9190671703980737e-05,5.849381960121348e-07,49.9038563441242,45.89755181872129,-29.734956,-71.587195,-985.0,5.389271343085652
N0450,1.515201514319301e-05,1.330037705549303e-07,113.92169620435878,45.90318449927914,-29.701136,-71.619579,-1073.0,5.050337577922813
N0500,0.0002265360775931518,9.383104226422005e-07,241.4297785963476,46.428791712717995,-29.667213,-71.652062,-1360.0,6.456410917011651
N0550,7.175842206972832e-05,5.136228309501676e-07,139.71034336028262,47.453880711982244,-29.63343,-71.684447,-1425.0,5.87675725824655
N0600,0.00010966920890968546,1.2466028351051764e-06,87.97445812036247,48.967741568951496,-29.600931,-71.718024,-1534.0,6.117244378639545
N0650,3.495324911624442e-05,3.027832801392612e-07,115.43982580599605,50.432518396226165,-29.561467,-71.734995,-1820.0,5.5459831422607175
N0700,4.224241321270822e-05,4.915171410787962e-07,85.94290957990465,51.8104214594966,-29.517629,-71.735615,-1375.0,5.662170745181584
N0750,1.9858572438327427e-05,1.8996262746823477e-07,104.53936494244451,53.60119951152109,-29.473656,-71.736238,-1280.0,5.294996716949939
N0800,1.6265281706119977e-05,6.654403420702316e-07,24.442884925668235,55.75466779809136,-29.429817,-71.736858,-1227.0,5.21860605236462
N0850,6.33130621450566e-06,2.8857526339718135e-07,21.93987849121894,58.23492194638714,-29.385979,-71.737479,-1246.0,4.760499695826217
N0900,2.353496220298784e-05,1.889013640955977e-07,124.58863023920492,61.01500603430777,-29.341961,-71.738134,-1450.0,5.47128145021898
N0950,2.0835984147593432e-06,1.655275638782012e-07,12.587622060894345,63.9472268428748,-29.297979,-71.735545,-1508.0,4.250108052178133
S0150,3.66931395823312e-05,1.228385645358365e-06,29.87102602589146,53.705793437784415,-29.896936,-71.382253,-111.0,5.613746456591567
S0200,5.388022499109694e-05,7.90690981553155e-07,68.14321428740716,53.37738388314968,-29.911029,-71.431402,-174.0,5.808202756152686
S0250,2.4453958321847927e-05,7.595146047045082e-07,32.19682435384086,53.421932711686686,-29.923536,-71.48071,-550.0,5.400340709622612
S0300,3.927757824661449e-05,9.22158151689682e-07,42.593104203054196,54.11331486336312,-29.939076,-71.528004,-625.0,5.654076185537986
S0350,1.607280738332902e-05,6.23606945485201e-07,25.773939016704634,55.42225738704678,-29.957655,-71.574989,-571.0,5.208376750913062
S0400,5.4410538856650545e-06,8.017206262391784e-08,67.86720595163804,57.08939961920109,-29.97576,-71.620784,-567.0,4.668579266975061
S0450,3.37218911450734e-05,9.417437053033495e-07,35.807928372838006,59.42865608163795,-30.000044,-71.661572,-1121.0,5.639170319917042
S0500,8.239341422774593e-06,5.3464160746398306e-08,154.10961862577537,62.45572548326542,-30.032258,-71.696094,-1306.0,4.944670765229219
S0550,3.40635008200018e-05,3.2877775807383414e-07,103.60646358672506,65.82106777379329,-30.06954,-71.720943,-1421.0,5.714646204002871
S0600,2.0103014138987707e-05,1.2021610878097787e-07,167.22396310142975,69.44819416888531,-30.112114,-71.734329,-1364.0,5.479133040212031
S0650,1.4315713620292019e-05,5.807063396154005e-08,246.52242697700285,73.21090125824543,-30.154559,-71.747674,-1236.0,5.340308657656678
S0700,4.287896153768827e-06,2.9059805523228793e-08,147.55419303619638,77.0984150107003,-30.197003,-71.761019,-1147.0,4.7531889515302375
S0750,1.5083371146901501e-06,1.2134904450691516e-08,124.29740347928298,81.10530658864712,-30.239578,-71.774405,-1019.0,4.248623881100184
S0800,6.593813835485184e-06,8.342317659806999e-08,79.04055089215738,85.19183505950386,-30.282022,-71.78775,-1332.0,5.046018106856732
S0850,5.949628565959392e-06,1.7521914411928142e-08,339.55356852497516,89.33622928610282,-30.325067,-71.798365,-1625.0,5.026605121402112
S0900,4.151724193540135e-06,2.1319737054695052e-08,194.73618191861507,93.54698466231679,-30.368808,-71.806465,-1383.0,4.873466830775929
S0950,1.592670755760594e-05,1.4938237944162978e-07,106.61704290116225,97.73947079862533,-30.412485,-71.811646,-1600.0,5.6000562374162905
S1150,5.688912168919722e-06,8.359717948028126e-08,68.05148456308399,115.03951529559001,-30.587909,-71.829347,-1621.0,5.186355241668421
S1250,2.1968330933904517e-06,2.13279271368321e-07,10.300265371765303,123.9717256579998,-30.675955,-71.838256,-1802.0,4.749717140607299
