station,peak_disp,peak_noise,snr,distance,latitude,longitude,depth,magnitude
C1300,1.4252690786426934e-06,1.2851590984020205e-07,11.090215059091806,131.0186499574086,-31.876739,-71.85055,-1799.0,4.567319131891481
C1350,1.6850226241073977e-06,1.6615426498854518e-07,10.141314303449056,126.64233036313246,-31.832433,-71.847587,-1759.0,4.628461355531976
C1400,2.280632985860372e-06,2.2303206412122672e-07,10.225583459698234,122.30136468437493,-31.787994,-71.844825,-1646.0,4.758993989816924
N0250,9.133780305096024e-06,3.0582498030981785e-07,29.866037417358754,123.46369155525811,-29.809008,-71.461846,-613.0,5.483394474969254
N0300,2.661252626796873e-06,1.6776382439481986e-07,15.863089890784858,126.00309230848727,-29.787071,-71.506087,-635.0,4.860973222973795
N0500,2.537210815497771e-06,1.4796376287775025e-07,17.14751481140724,140.17955006166184,-29.667213,-71.652062,-1360.0,4.916461413023864
N0650,4.944397633884293e-07,1.72397008492545e-08,28.680298324887143,152.62630986258034,-29.561467,-71.734995,-1820.0,4.135931738381869
N0700,4.046949699455129e-07,1.4321714835098942e-08,28.257438065566472,157.16632483739306,-29.517629,-71.735615,-1375.0,4.055002759341742
N0750,3.6582456897516884e-07,2.1563348397158606e-08,16.96510960344978,161.7389798086463,-29.473656,-71.736238,-1280.0,4.025050278010969
N0900,5.587217519523318e-07,4.382252550783274e-08,12.749647481007619,175.53127950793368,-29.341961,-71.738134,-1450.0,4.308189204635579
S0200,2.9308694919834647e-06,2.048318347959738e-07,14.30866200511657,112.9407490319509,-29.911029,-71.431402,-174.0,4.8299331678862245
S0250,2.1334619746878817e-06,2.4908627370583252e-08,85.65152719765968,111.9172276386181,-29.923536,-71.48071,-550.0,4.659077899826403
S0400,9.950133466909529e-07,6.837988956496696e-09,145.51256999992694,108.53112270305746,-29.97576,-71.620784,-567.0,4.242261879834233
S0500,1.1315241451434617e-06,2.3925125081029863e-08,47.29438785842097,104.78472579163795,-30.032258,-71.696094,-1306.0,4.283160753972844
S0550,7.127723860899225e-06,4.5697127542497974e-08,155.9775032745876,101.97223183501919,-30.06954,-71.720943,-1421.0,5.214969107302573
S0600,4.872379160241299e-06,4.215078389926024e-08,115.59403430992444,98.46086927060476,-30.112114,-71.734329,-1364.0,4.992988926159901
S0650,1.0840851744743076e-05,2.4701504701972698e-08,438.87414453247095,95.08121115285367,-30.154559,-71.747674,-1236.0,5.381357621806796
S0700,2.82615002237722e-06,3.6894999538621194e-08,76.59981183680037,91.83587640995398,-30.197003,-71.761019,-1147.0,4.6614143731218345
S0750,1.4212322068083066e-06,1.645739550131183e-08,86.35827015854478,88.73016550569245,-30.239578,-71.774405,-1019.0,4.2814915990514395
S0800,3.255281354610011e-06,5.1563181760324307e-08,63.13189457045517,85.79935307568039,-30.282022,-71.78775,-1332.0,4.686115438808906
S0850,5.676961889590476e-06,3.492837851994214e-08,162.53150389873525,82.88316863879366,-30.325067,-71.798365,-1625.0,4.949179847832374
S0900,2.6170291579529378e-06,8.935802260398423e-09,292.8700839264377,79.98849227118588,-30.368808,-71.806465,-1383.0,4.523753507255844
S0950,2.855816823884799e-05,1.75835896392528e-07,162.41375523855518,77.15710917951841,-30.412485,-71.811646,-1600.0,5.734063017611374
S1000,1.0509302720257152e-05,2.932940419598363e-07,35.831967980093836,74.48709968046774,-30.456309,-71.816061,-1334.0,5.192563502163891
S1050,1.3124325420731745e-05,1.4660495835092203e-07,89.52170218770233,72.05542290944733,-30.499999,-71.820462,-1278.0,5.284297476056043
S1100,8.844044585531414e-06,1.2043075112730566e-07,73.43676347399426,69.87209510619992,-30.543819,-71.824886,-1254.0,5.058821596963681
S1150,1.675379611994359e-05,2.4792265579982193e-07,67.57670478276485,67.95857709139374,-30.587909,-71.829347,-1621.0,5.3698755122570505
S1200,7.687310092774013e-06,1.1841840660678593e-07,64.91651351381631,66.3575750563659,-30.631865,-71.833795,-1583.0,4.950594927444677
S1250,6.3877523539535765e-06,2.516296862288523e-07,25.385527636608185,65.08201578005445,-30.675955,-71.838256,-1802.0,4.841444292314094
S1300,7.479623702779832e-06,1.1299860170954543e-07,66.19217928028573,64.15929071693884,-30.71991,-71.842703,-1534.0,4.913182086776478
S1350,1.7072561514751453e-05,2.4148147466216257e-07,70.6992598029986,63.60015438770352,-30.763866,-71.84715,-1663.0,5.333840818421965
S1400,1.655373246888917e-05,4.3341097752582245e-07,38.19407750903795,63.41429862138287,-30.807956,-71.851611,-1651.0,5.315869886274833
